Sl. No.,State/UT,2018 - Credit/Debit Card,2018 - ATMs,2018 - Online Banking Fraud,2018 - OTP Fraud,2018 - Others,2018 - Total,2019 -  Credit/Debit Card,2019 - ATMs,2019 - Online Banking Fraud,2019 - OTP Fraud,2019 - Others,2019 - Total,2020 -  Credit/Debit Card,2020 - ATMs,2020 - Online Banking Fraud,2020 - OTP Fraud,2020 - Others,2020 - Total,2021 -  Credit/Debit Card,2021 - ATMs,2021 - Online Banking Fraud,2021 - OTP Fraud,2021 - Others,2021 - Total,2022 -  Credit/Debit Card,2022 - ATMs,2022 - Online Banking Fraud,2022 - OTP Fraud,2022 - Others,2022 - Total
1,Andhra Pradesh,9,50,48,67,21,195,4,68,356,108,167,703,37,54,409,140,124,764,39,62,524,141,186,952,39,30,569,61,285,984
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,2,0,0,2,0,0,0,0,0,0
3,Assam,0,2,1,3,0,6,0,0,25,0,58,83,0,10,48,0,0,58,0,5,1,0,76,82,0,8,8,0,0,16
4,Bihar,5,333,15,0,4,357,24,792,24,20,148,1008,493,642,105,8,46,1294,380,775,117,23,78,1373,562,638,168,10,63,1441
5,Chhattisgarh,0,4,12,1,1,18,0,8,4,7,16,35,4,2,28,23,14,71,2,5,11,12,37,67,2,2,29,4,5,42
6,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,4,0,5,11
7,Gujarat,10,50,44,21,14,139,19,13,33,28,14,107,10,63,74,27,31,205,45,28,58,33,44,208,5,13,71,11,8,108
8,Haryana,0,0,0,0,0,0,0,38,51,0,18,107,0,0,26,0,10,36,0,0,3,0,49,52,1,0,8,0,35,44
9,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,6,0,1,8,0,0,9
10,Jharkhand,8,115,52,0,0,175,0,13,0,5,0,18,9,21,51,0,2,83,0,25,18,34,2,79,2,4,88,4,0,98
11,Karnataka,0,0,0,43,6,49,0,3,4,0,0,7,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0
12,Kerala,0,3,5,5,1,14,4,0,6,2,2,14,0,3,1,0,2,6,1,2,3,0,10,16,1,2,21,2,0,26
13,Madhya Pradesh,0,15,8,2,18,43,0,6,6,1,12,25,4,10,20,2,33,69,2,12,48,9,18,89,6,5,99,43,27,180
14,Maharashtra,143,304,328,82,179,1036,159,454,552,131,385,1681,180,324,821,229,478,2032,162,104,624,149,639,1678,275,144,909,195,679,2202
15,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Odisha,13,204,158,0,17,392,50,331,545,1,29,956,132,362,549,0,36,1079,166,217,687,129,6,1205,147,113,434,201,62,957
20,Punjab,0,2,3,0,2,7,2,14,10,0,9,35,3,2,5,1,5,16,1,1,5,2,20,29,4,6,17,11,23,61
21,Rajasthan,11,8,7,9,37,72,6,73,126,36,83,324,12,117,49,45,109,332,20,76,148,76,51,371,5,55,109,18,105,292
22,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,0,0,5,5,0,0,3,1,7,11,2,1,0,1,1,5,8,16,54,15,14,107,8,12,163,19,49,251
24,Telangana,32,42,140,46,87,347,31,50,35,134,32,282,252,315,1405,525,819,3316,703,443,2180,1377,2300,7003,535,624,3223,2179,3020,9581
25,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Uttar Pradesh,78,135,132,35,74,454,66,202,306,75,164,813,47,203,358,89,140,837,87,93,329,27,78,614,68,10,483,34,171,766
27,Uttarakhand,0,11,12,5,0,28,0,1,0,0,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,27,3,31
28,West Bengal,0,0,0,0,4,4,0,0,0,0,0,0,7,31,68,1,38,145,6,34,0,0,0,40,0,0,0,0,30,30
29,Andaman and Nicobar Islands,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Chandigarh,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
31,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Delhi,0,2,0,0,1,3,2,1,2,0,6,11,1,0,19,2,9,31,2,0,0,0,17,19,5,21,72,91,142,331
33,Jammu and Kashmir,0,2,0,0,1,3,0,0,5,0,1,6,0,0,0,0,0,0,0,1,7,0,0,8,0,0,7,0,0,7
34,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Lakshadweep,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
