SL,State/UT,"Cyber
Blackmailing
/
Threatening/
Harassment",Fake Profile,"Cyber
Pornography/
Hosting or
Publishing
Obscene Sexual
Materials
depicting children","Cyber
Stalking/
Bullying","Internet
Crimes
through
Online
Games etc.","Other
Cyber
Crimes
against
Children","Total Cyber
Crimes
against
Children"
1,Andhra Pradesh,0,0,99,13,0,12,124
2,Arunachal Pradesh,0,0,0,0,0,0,0
3,Assam,62,0,24,0,0,14,100
4,Bihar,0,0,0,0,0,0,0
5,Chhattisgarh,1,0,112,2,0,3,118
6,Goa,0,0,1,1,0,1,3
7,Gujarat,1,0,32,3,0,28,64
8,Haryana,1,0,5,1,0,31,38
9,Himachal Pradesh,0,0,2,3,0,0,5
10,Jharkhand,0,0,6,0,0,0,6
11,Karnataka,0,0,235,0,0,4,239
12,Kerala,0,0,104,30,0,48,182
13,Madhya Pradesh,2,0,137,13,0,24,176
14,Maharashtra,2,,54,52,1,67,178
15,Manipur,0,0,0,0,0,0,0
16,Meghalaya,0,0,1,0,0,1,2
17,Mizoram,0,0,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,0
19,Odisha,0,0,47,0,0,1,48
20,Punjab,0,0,15,1,0,15,31
21,Rajasthan,2,0,106,19,0,55,182
22,Sikkim,0,0,0,0,0,0,0
23,Tamil Nadu,0,0,19,0,0,7,26
24,Telangana,2,0,6,4,1,20,33
25,Tripura,0,0,0,0,0,0,0
26,Uttar Pradesh,0,0,38,10,0,70,118
27,Uttarakhand,1,0,2,2,0,5,10
28,West Bengal,0,0,1,0,0,1,2
29,A&N Islands,0,0,3,1,0,2,6
30,Chandigarh,0,0,0,0,0,1,1
31,"D&N Haveli and
Daman & Diu",0,0,2,0,0,0,2
32,Delhi,0,0,116,3,0,1,120
33,Jammu & Kashmir,0,0,0,0,0,5,5
34,Ladakh,0,0,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,0,0,4,0,0,0,4
