SL,State/UT, Violation of Privacy,Ransom-ware,Publishing or transmitting  obscene  material in Electronic Form, OTP Frauds,OnlineBanking Fraud,Offences under (Involving Communication Devices as Medium/ Target),Identity Theft, Fake Profile,Fake News onSocial Media, Dishonesty  receivings to computer resource or  communication device,Defamation/Morphing and Indecent representationof women ,Data theft,CyberBlackmailing/Threatening,Cyber Terrorism, Cyber Stalking/Bullying of Women/Children,CreditCard/Debit Card Fraud, Computer Related Offences,ATMs Card Fraud,Publishing or transmitting of material containing Sexually explicitact 
1,Andhra Pradesh,26,0,17,61,569,0,82,10,15,18,0,7,46,,136,39,257,30,25
2,Arunachal Pradesh,0,0,0,0,0,0,3,0,0,0,0,0,1,,0,0,7,0,2
3,Assam,32,0,160,0,8,0,116,0,3,2,0,0,70,,3,0,592,8,105
4,Bihar,2,0,7,10,168,0,1,26,2,0,2,4,11,,18,562,14,638,6
5,Chhattisgarh,2,0,30,4,29,0,5,0,0,5,0,0,3,,7,2,19,2,141
6,Goa,0,0,3,0,4,0,9,0,0,0,0,0,1,,1,0,11,2,3
7,Gujarat,5,0,86,11,71,15,214,4,1,10,0,5,30,,48,5,257,13,47
8,Haryana,4,0,26,0,8,13,66,0,0,7,0,0,21,,28,1,213,0,90
9,Himachal Pradesh,0,0,4,0,8,0,10,0,0,0,0,0,0,,12,0,26,1,20
10,Jharkhand,31,21,4,4,88,0,364,0,0,97,0,0,11,,2,2,784,4,14
11,Karnataka,69,184,351,0,0,0,3752,0,0,15,0,0,1,,0,0,11729,0,105
12,Kerala,10,2,51,2,21,24,38,5,0,1,15,1,6,,49,1,157,2,43
13,Madhya Pradesh,11,3,31,43,99,0,19,1,15,2,4,0,16,,82,6,167,5,41
14,Maharashtra,30,9,64,195,909,9,208,48,23,13,12,43,95,,581,275,485,144,71
15,Manipur,0,0,0,0,0,0,0,0,1,0,0,0,1,,4,0,0,0,0
16,Meghalaya,7,0,10,0,0,0,15,0,1,0,0,0,0,,0,0,47,0,10
17,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
18,Nagaland,0,0,0,0,0,0,2,0,0,0,0,0,0,,0,0,2,0,1
19,Odisha,5,17,277,201,434,9,14,0,0,0,2,0,0,,0,147,152,113,222
20,Punjab,8,1,28,11,17,2,27,2,0,1,1,1,15,,26,4,128,6,39
21,Rajasthan,10,1,84,18,109,23,94,33,5,2,3,1,51,,80,5,303,55,87
22,Sikkim,4,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,22,0,4
23,Tamil Nadu,12,1,100,19,163,5,50,0,37,8,1,1,7,,30,8,1199,12,82
24,Telangana,1,37,58,2179,3223,0,77,14,81,5,9,32,234,,280,535,251,624,29
25,Tripura,2,0,2,0,0,0,2,0,0,1,0,0,0,,0,0,24,0,2
26,Uttar Pradesh,115,681,1318,34,483,0,469,1,36,149,0,1,37,3,27,68,6318,10,644
27,Uttarakhand,2,0,13,27,1,0,23,0,0,1,0,0,10,,17,0,458,0,20
28,West Bengal,11,0,6,0,0,1,1,8,10,15,12,1,23,,11,0,29,0,13
29,A&N Islands,2,0,0,0,0,1,2,0,0,0,0,0,0,,1,0,4,0,0
30,Chandigarh,0,0,3,0,0,1,5,0,0,0,0,0,0,2,2,0,9,0,2
31,"D&N Haveli and Daman & Diu
Daman & Diu",0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3
32,Delhi,7,1,21,91,72,0,33,5,0,3,0,0,6,,24,5,55,21,34
33,Jammu & Kashmir,14,0,1,0,7,0,10,0,0,0,0,0,0,,2,0,118,0,25
34,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
35,Lakshadweep,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,1,0,0
36,Puducherry,1,0,0,0,0,0,27,0,0,3,0,0,0,,0,0,56,0,1
